,Title,Images,Summary,Aurthor,Category,ID
0,The Hockey Goalie's Complete Guide: An Indispensable Development Plan,http://ecx.images-amazon.com/images/I/51gQ98Wpi%2BL.jpg,"<p><b>An essential training manual for hockey goalkeepers.</b></p> <p><i><b>The Hockey Goalie's Complete Guide</b></i> offers practical advice and information for goalkeepers and their coaches and trainers. Anyone interested in hockey goalkeeping will enjoy reading about NHL trainer FranÇois Allaire and his four-year development plan that includes:</p> <p><ul> Basic techniques</li>  Skating techniques</li>  On-ice and off-ice training methods</li>  How to evaluate goalkeepers on and off the ice</li>  The trainer's role.</li></ul></p> <p>Step-by-step instructions and clear illustrations show how to execute each recommended technique, movement and exercise, and detailed color photographs complement the expert counsel. Each chapter has an at-a-glance summary and a chart that outlines all the techniques and exercises featured.</p> <p>This authoritative and practical guide also includes forms that allow players, coaches and trainers to record and refer to a goalkeeper's progress and performance during games. These tracking forms are important for annual evaluations and for planning revisions to ongoing training programs.</p>",Francoise Allaire,Sports & Outdoors,1554074762
1,Full Measures,http://ecx.images-amazon.com/images/I/51jQ8nw4K2L.jpg,"She knew. That’s why Mom hadn’t opened the door. She knew he was dead. Twenty years as an army brat and Ember Howard knew, too. The soldiers at the door meant her dad was never coming home. What she didn’t know was how she would find the strength to singlehandedly care for her crumbling family when her mom falls apart. Then Josh Walker enters her life. Hockey star, her new next-door neighbor, and not to mention the most delicious hands that insist on saving her over and over again. He has a way of erasing the pain with a single look, a single touch. As much as she wants to turn off her feelings and endure the heartache on her own, she can’t deny their intense attraction. Until Josh’s secret shatters their world. And Ember must decide if he’s worth the risk that comes with loving a man who could strip her bare.",Rebecca Yarros,Romance,149530342X
2,"Gun Control in the Third Reich: Disarming the Jews and ""Enemies of the State""",http://ecx.images-amazon.com/images/I/51%2BXi65fJuL.jpg,<div>,Stephen P. Halbrook,Law,1598131621
3,Persiana: Recipes from the Middle East & beyond,http://ecx.images-amazon.com/images/I/61R4ngp8arL.jpg,"<p>A FABULOUS COLLECTION OF RECIPES FROM ONE OF THE STRONGEST VOICES IN MIDDLE EASTERN FOOD TODAY<br><BR><br>A celebration of the food and flavors from the regions near the Southern and Eastern shores of the Mediterranean Sea, with over 100 recipes for modern and accessible Middle Eastern dishes, including Lamb & Sour Cherry Meatballs; Chicken, Preserved Lemon & Olive Tagine; Blood Orange & Radicchio Salad; Persian Flatbread; and Spiced Carrot, Pistachio & Coconut Cake with Rosewater Cream.</p>",Sabrina Ghayour,"Cookbooks, Food & Wine",1566569958
4,Organic Dog Biscuit Cookbook (Revised Edition): Over 100 Tail-Wagging Treats,http://ecx.images-amazon.com/images/I/51i4PBKh7oL.jpg,"This updated and expanded edition of the original Organic Dog Biscuit Cookbook has more recipes, more variety, and more reasons your dog will be begging for another batch of these wholesome and healthy goodies.<BR><BR>Your loyal companion deserves the best, and this cookbook includes over 100 recipes to help you do just that. Why settle for store-bought, processed dog treats when you could be delighting your dog&rsquo;s appetite AND health with easy-to-make, organic and delicious biscuits! All recipes are free of wheat, corn, and soy, include simple instructions, and require minimal preparation. In the time it takes to pick up a bag of treats at the store, you could be whipping up tasty tidbits for your best friend!",The Bubba Rose Biscuit Company,"Cookbooks, Food & Wine",1604334657
5,Oldsmobile V-8 Engines: How to Build Max Performance,http://ecx.images-amazon.com/images/I/51tNQndAArL.jpg,"The traditional Oldsmobile V-8 powered some of the most memorable cars of the muscle car era, from the 442s of the 1960s and early 1970s to the Trans Ams of the late 1970s. These powerful V-8s were also popular in ski boats. They have found a new lease on life with the recent development of improved aftermarket cylinder heads, aggressive roller camshafts, and electronic fuel injection. <p>Author Bill Trovato is recognized as being one of the most successful Oldsmobile engine experts, and he openly shares all of his proven tricks, tips, and techniques for this venerable power plant. In this revised edition of <i>Oldsmobile V-8 Engines: How to Build Max Performance</i>, he provides additional information for extracting the best performance. In particular, he goes into greater detail on ignition systems and other areas of performance. His many years of winning with the Olds V-8 in heads-up, street-legal cars proves he knows how to extract maximum power from the design without sacrificing durability. A complete review of factory blocks, cranks, heads, and more is teamed with a thorough review of available aftermarket equipment. Whether mild or wild, the important information on cam selection and Olds-specific engine building techniques are all here. Fans of the traditional Olds V-8 will appreciate the level of detail and completeness Trovato brings to the table, and his frank, to-the-point writing style is as efficient and effective as the engines he designs, builds, and races. <p>Anyone considering an Oldsmobile V-8 to power their ride will save time, money, and headaches by following the clear and honest advice offered in <i>Oldsmobile V-8 Engines: How to Build Max Performance</i>. Plenty of full-color photos and step-by-step engine builds showcase exactly how these engines should be built to deliver the most power per dollar.",Bill Trovato,Engineering & Transportation,1613251742
6,A Drop of Blood (Let's-Read-and-Find-Out Science 2),http://ecx.images-amazon.com/images/I/517rLXMR2UL.jpg,"<p>You've seen your own blood, when you have a cut or a scrape. You can see the veins in your wrist, and you've seen the scab that forms as a cut heals. But do you know what blood does for you? Without blood, you couldn't play, or grow, or learn. That's because just about every part of your body needs blood, from your muscles to your bones to your brain. How does your body use blood? Read and find out! </p><p> Ages 10 &ndash; 14</p>",Paul Showers,Children's Books,006009110X
7,An Interview With A Minecraft Mob,http://ecx.images-amazon.com/images/I/51xKNr11luL.jpg,"<h1>(An Unofficial Minecraft Book)<br><br>Check Out this Exclusive Interview With The Legendary Herobrine - The Infamous Creeper and the Mysterious Enderman!</h1> <br><b> - Have you ever wondered why Herobrine has no eyes? <br><br> - Have you ever wanted to know why Creepers explode? <br><br> Or have you ever wanted to know why Endermen move people's stuff? <br><br> Well, in this never before, exclusive interview, we get the inside scoop in the life of 3 of the most interesting Mobs in Minecraft. <br><br> Don't miss this opportunity to really learn about what the life a Minecraft Mob is really like! </b> <br><br> <h1>Get Your Copy Now!</h1>",Herobrine Books,Children's Books,1943330174
8,Old Oman,http://ecx.images-amazon.com/images/I/5181Rgq7MdL.jpg,"It has been said of Oman that &#34;the middle ages stopped in 1970;&#34; certainly before the accession of Sultan Qaboos, little had changed in the country's outward aspect for many generations. W.D. Peyton, an Arabist with a deep knowledge and love of Oman, has painstakingly amassed a stunning record of the country as it used to be. The result is a truly fascinating series of pictures of a world now utterly transformed. Old Oman will intrigue anyone whose knowledge of the country began in more recent years, and will enhance the recollections of those with a longer acquaintance with the country.",W.D PEYTON,History,1900988143
9,Deutsche Balladen von BÃ¼rger bis zur Gegenwart (German Edition),http://ecx.images-amazon.com/images/I/51OfuaURVzL.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide. This text refers to the Bibliobazaar edition.,Ernst Lissauer,History,1115686909
